record_id,brand,business_name,business_name_ascii,rating,reviews,place_id,latitude,longitude,source_file,wkt,valid_monterrey_bbox,coord_issue
1,Dunkin,Dunkin' Garza Sada (Contry),Dunkin' Garza Sada (Contry),3.9,269,ChIJsVa0fwC_YoYRxtddMZCNUps,25.6389316,-100.2860475,dunkindonouts_mty_data_location.csv,POINT (-100.2860475 25.6389316),True,
2,Dunkin,Dunkin' Valle Oriente,Dunkin' Valle Oriente,4.5,19,ChIJd1ZoDQC_YoYRL2t3tOLrIsI,25.6380981,-100.3142795,dunkindonouts_mty_data_location.csv,POINT (-100.3142795 25.6380981),True,
3,Dunkin,Dunkin' Citadel,Dunkin' Citadel,3.8,32,ChIJgavhewDrYoYRPbEhXdmghtA,25.7262201,-100.2150351,dunkindonouts_mty_data_location.csv,POINT (-100.2150351 25.7262201),True,
4,Dunkin,Dunkin' Park Point,Dunkin' Park Point,4.1,45,ChIJGRncXwCXYoYR_lt8X1T-ESk,25.7384954,-100.4050529,dunkindonouts_mty_data_location.csv,POINT (-100.4050529 25.7384954),True,
5,Dunkin,Dunkin' Paseo Almenares,Dunkin' Paseo Almenares,3.5,17,ChIJF8etVQCVYoYRX3WF84y9VCk,25.7684379,-100.2775145,dunkindonouts_mty_data_location.csv,POINT (-100.2775145 25.7684379),True,
6,Dunkin,Rolling Donuts San Nicolás,Rolling Donuts San Nicolas,4.1,29,ChIJPTS7BY6VYoYR6MTr8f8-sVw,25.7535363,-100.2907802,dunkindonouts_mty_data_location.csv,POINT (-100.2907802 25.7535363),True,
7,Dunkin,Dunkin',Dunkin',4.5,31,ChIJFxHZKQDHYoYRH5xaDqt-Q0U,25.5214849,-100.2034432,dunkindonouts_mty_data_location.csv,POINT (-100.2034432 25.5214849),True,
38,Starbucks,Starbucks,Starbucks,4.2,2178,ChIJOcBLXZTrYoYRersK0lZPafc,25.7453695,-100.203521,starbucks_mty_data_location.csv,POINT (-100.203521 25.7453695),True,
39,Starbucks,Starbucks Paseo de los Leones DT,Starbucks Paseo de los Leones DT,4.4,4132,ChIJ_1C7xNaXYoYRhFRabidDorQ,25.7119488,-100.3777648,starbucks_mty_data_location.csv,POINT (-100.3777648 25.7119488),True,
40,Starbucks,Starbucks Churubusco,Starbucks Churubusco,4.4,2521,ChIJ7dvcK1GVYoYRnvvJSouakFg,25.6857986,-100.2671916,starbucks_mty_data_location.csv,POINT (-100.2671916 25.6857986),True,
41,Starbucks,Starbucks Constitución DT,Starbucks Constitucion DT,4.3,3404,ChIJDfZWOQO-YoYRr_QD2zSu7e8,25.6691785,-100.3395735,starbucks_mty_data_location.csv,POINT (-100.3395735 25.6691785),True,
42,Starbucks,Starbucks Kune DT,Starbucks Kune DT,4.3,740,ChIJ9fYSsTWRYoYRsaYFE6yj7JU,25.7649,-100.4119869,starbucks_mty_data_location.csv,POINT (-100.4119869 25.7649),True,
43,Starbucks,Starbucks Revolución,Starbucks Revolucion,4.5,1842,ChIJqf7Jg5C_YoYRjGEdJXp6Bzw,25.6426643,-100.2740999,starbucks_mty_data_location.csv,POINT (-100.2740999 25.6426643),True,
44,Starbucks,Starbucks,Starbucks,4.4,1324,ChIJeT6-H-3rYoYRo2QOqOMF7qw,25.7652817,-100.1915645,starbucks_mty_data_location.csv,POINT (-100.1915645 25.7652817),True,
45,Starbucks,Starbucks Galerías Monterrey,Starbucks Galerias Monterrey,4.5,2067,ChIJyUEvbAaWYoYR3ADMfxsUGz4,25.6811354,-100.3545263,starbucks_mty_data_location.csv,POINT (-100.3545263 25.6811354),True,
46,Starbucks,Starbucks Avanta Gardens,Starbucks Avanta Gardens,4.5,772,ChIJ2boOr5y9YoYRrFtCvUR6dxc,25.6575078,-100.3895607,starbucks_mty_data_location.csv,POINT (-100.3895607 25.6575078),True,
